step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_IN,133.64,C000128,10473.41,10339.77,M000178,3817.3,3950.94,0,0
1,PAYMENT,628.68,C000175,3198.02,2569.34,M000023,13867.29,14495.98,0,0
1,PAYMENT,182.34,C000236,2733.57,2551.22,M000190,11091.97,11274.31,0,0
1,PAYMENT,136.45,C000195,21822.42,21685.96,M000051,17790.34,17926.8,0,0
1,TRANSFER,520.72,C000259,3071.07,2550.35,M000157,6883.3,7404.03,0,0
1,CASH_OUT,246.26,C000102,2605.89,2359.63,M000071,8139.52,8385.78,0,0
1,CASH_OUT,609.37,C000173,13176.99,12567.62,M000006,7150.44,7759.81,0,0
1,CASH_OUT,263.22,C000257,2976.56,2713.34,M000149,1171.6,1434.82,0,0
1,PAYMENT,1015.46,C000265,7696.26,6680.8,M000008,15286.03,16301.49,0,0
1,TRANSFER,497.43,C000239,6544.44,6047.01,M000133,2155.39,2652.82,0,0
1,PAYMENT,685.43,C000186,10719.21,10033.79,M000153,2474.7,3160.12,0,0
1,CASH_OUT,470.63,C000209,8142.84,7672.21,M000154,3897.04,4367.67,0,0
1,TRANSFER,149.71,C000216,7356.89,7207.18,M000042,24982.46,25132.18,0,0
1,PAYMENT,191.66,C000038,4019.95,3828.3,M000064,6131.97,6323.63,0,0
2,CASH_OUT,605.53,C000007,12118.1,11512.57,M000177,6430.61,7036.14,0,0
2,TRANSFER,1226.53,C000044,1771.65,545.12,M000022,2795.6,4022.13,0,0
2,CASH_OUT,625.22,C000208,1064.71,439.5,M000103,3642.15,4267.37,0,0
2,PAYMENT,185.43,C000033,2883.38,2697.95,M000108,713.24,898.67,0,0
2,PAYMENT,831.22,C000068,8445.23,7614.0,M000112,12724.16,13555.39,0,0
2,PAYMENT,610.67,C000278,1667.3,1056.64,M000001,6338.8,6949.47,0,0
2,CASH_IN,365.89,C000033,6729.52,6363.62,M000081,3643.23,4009.12,0,0
2,PAYMENT,227.66,C000299,11339.25,11111.59,M000002,4516.33,4744.0,0,0
2,CASH_IN,749.46,C000236,3604.6,2855.14,M000193,4543.46,5292.92,0,0
2,PAYMENT,35.86,C000261,3773.22,3737.35,M000028,2053.42,2089.29,0,0
2,CASH_OUT,110.29,C000199,11490.85,11380.55,M000162,3774.18,3884.47,0,0
2,CASH_OUT,535.15,C000129,9146.12,8610.97,M000114,5685.59,6220.74,0,0
2,CASH_IN,579.72,C000145,3138.83,2559.11,M000023,9234.7,9814.42,0,0
2,CASH_IN,778.69,C000091,5465.5,4686.81,M000020,17978.31,18757.01,0,0
2,PAYMENT,1516.07,C000154,5071.65,3555.58,M000059,12622.39,14138.45,0,0
2,CASH_IN,493.55,C000041,13820.26,13326.71,M000154,4391.52,4885.07,0,0
2,PAYMENT,673.1,C000287,2847.81,2174.71,M000006,2559.08,3232.18,0,0
2,PAYMENT,1309.39,C000094,6699.97,5390.58,M000184,38615.1,39924.49,0,0
2,PAYMENT,926.78,C000280,3655.42,2728.64,M000176,1972.06,2898.83,0,0
2,PAYMENT,399.52,C000005,2572.62,2173.1,M000174,3136.0,3535.53,0,0
2,CASH_IN,204.66,C000114,6396.2,6191.54,M000132,13661.67,13866.33,0,0
2,CASH_OUT,326.59,C000013,567.69,241.1,M000167,2068.31,2394.89,0,0
2,PAYMENT,294.4,C000246,2083.2,1788.8,M000023,1801.44,2095.84,0,0
2,CASH_IN,199.56,C000225,1474.19,1274.63,M000096,9306.85,9506.41,0,0
2,PAYMENT,664.14,C000099,5036.36,4372.22,M000192,6261.33,6925.47,0,0
2,PAYMENT,726.94,C000066,15173.96,14447.02,M000011,2257.56,2984.5,0,0
2,CASH_OUT,1535.18,C000154,651.15,0.0,M000038,15221.2,16756.39,0,0
2,PAYMENT,2072.58,C000131,3853.27,1780.69,M000069,6128.85,8201.43,0,0
2,CASH_OUT,1160.98,C000271,2176.42,1015.44,M000100,20598.88,21759.86,0,0
2,TRANSFER,104.43,C000000,11564.94,11460.52,M000015,3127.63,3232.06,0,0
2,CASH_IN,595.5,C000210,4247.43,3651.93,M000082,12193.43,12788.93,0,0
2,TRANSFER,177.84,C000265,8181.93,8004.09,M000063,14230.81,14408.65,0,0
2,CASH_OUT,156.1,C000152,4986.91,4830.81,M000066,1651.21,1807.32,0,0
2,TRANSFER,307.2,C000204,1583.69,1276.49,M000111,1307.82,1615.03,0,0
2,DEBIT,86.99,C000080,6372.75,6285.76,M000189,1790.5,1877.49,0,0
2,CASH_IN,687.0,C000059,4825.37,4138.38,M000063,21101.97,21788.96,0,0
2,CASH_IN,414.18,C000043,6464.69,6050.51,M000051,5291.44,5705.62,0,0
2,PAYMENT,644.29,C000249,3522.03,2877.74,M000028,4247.05,4891.34,0,0
2,PAYMENT,192.84,C000182,9561.88,9369.04,M000155,17753.46,17946.3,0,0
2,CASH_IN,296.66,C000052,1005.58,708.92,M000104,14120.97,14417.62,0,0
2,CASH_IN,1075.78,C000008,8868.5,7792.73,M000125,8818.83,9894.6,0,0
2,CASH_OUT,900.24,C000299,2241.38,1341.14,M000110,57636.07,58536.31,0,0
2,CASH_OUT,210.62,C000139,5517.46,5306.84,M000095,5421.9,5632.52,0,0
2,PAYMENT,479.04,C000093,16002.81,15523.77,M000137,29218.88,29697.92,0,0
2,CASH_IN,331.4,C000206,21588.82,21257.42,M000112,3927.02,4258.42,0,0
2,PAYMENT,248.88,C000268,2110.86,1861.98,M000141,8157.69,8406.57,0,0
2,PAYMENT,2470.79,C000138,3371.91,901.11,M000189,494.25,2965.04,0,0
2,CASH_OUT,889.64,C000298,19639.44,18749.8,M000051,89981.3,90870.94,0,0
2,CASH_OUT,75.56,C000000,3740.93,3665.36,M000008,15093.63,15169.19,0,0
2,PAYMENT,772.89,C000113,2102.75,1329.86,M000078,1964.73,2737.62,0,0
2,TRANSFER,524.79,C000136,889.53,364.74,M000060,4777.42,5302.21,0,0
2,PAYMENT,466.89,C000109,2070.09,1603.2,M000167,4347.7,4814.58,0,0
2,TRANSFER,96.65,C000196,2604.51,2507.86,M000048,3929.51,4026.17,0,0
2,DEBIT,384.74,C000195,4250.74,3866.0,M000080,1519.7,1904.44,0,0
2,PAYMENT,77.97,C000237,1208.59,1130.61,M000058,1100.88,1178.86,0,0
2,TRANSFER,2316.13,C000098,2736.54,420.41,M000197,2018.31,4334.43,0,0
2,CASH_OUT,639.52,C000017,7696.11,7056.59,M000144,7926.72,8566.23,0,0
2,PAYMENT,244.52,C000075,6850.89,6606.37,M000038,5575.55,5820.07,0,0
2,CASH_OUT,475.37,C000267,2115.04,1639.67,M000150,13177.15,13652.51,0,0
2,TRANSFER,560.79,C000290,4167.66,3606.87,M000172,18457.58,19018.37,0,0
2,PAYMENT,1287.17,C000144,7205.9,5918.73,M000104,3553.63,4840.81,0,0
2,TRANSFER,213.9,C000247,5228.4,5014.5,M000124,1526.88,1740.78,0,0
2,PAYMENT,88.35,C000014,1383.24,1294.89,M000186,6628.21,6716.56,0,0
2,PAYMENT,925.67,C000177,3460.39,2534.71,M000076,6992.73,7918.41,0,0
2,TRANSFER,3197.17,C000218,6221.96,3024.8,M000056,2611.85,5809.01,0,0
2,CASH_OUT,2237.79,C000061,1616.26,0.0,M000006,10113.82,12351.62,0,0
2,PAYMENT,1075.4,C000249,2858.05,1782.65,M000195,16558.15,17633.55,0,0
2,TRANSFER,939.4,C000148,2834.18,1894.78,M000155,3163.06,4102.46,0,0
2,CASH_IN,1214.08,C000235,1535.64,321.55,M000102,1124.06,2338.14,0,0
2,CASH_OUT,3556.39,C000218,6098.7,2542.31,M000122,21425.3,24981.69,0,0
2,CASH_OUT,234.82,C000049,22318.59,22083.77,M000135,8423.01,8657.83,0,0
2,CASH_IN,970.5,C000161,2169.58,1199.08,M000162,48201.7,49172.2,0,0
2,TRANSFER,356.77,C000163,4717.72,4360.95,M000081,17164.44,17521.21,0,0
2,TRANSFER,2064.78,C000206,1633.53,0.0,M000173,3058.62,5123.4,0,0
2,CASH_OUT,793.13,C000293,182.03,0.0,M000112,1202.34,1995.47,0,0
2,PAYMENT,178.31,C000175,3245.38,3067.07,M000069,5027.28,5205.59,0,0
3,PAYMENT,123.27,C000057,4660.75,4537.49,M000192,6567.37,6690.63,0,0
3,PAYMENT,644.84,C000202,15249.88,14605.04,M000017,25890.48,26535.32,0,0
3,CASH_OUT,1433.17,C000038,831.61,0.0,M000166,10344.88,11778.05,0,0
3,TRANSFER,175.42,C000257,22621.69,22446.26,M000199,3149.3,3324.73,0,0
3,CASH_IN,98.97,C000173,6902.75,6803.78,M000143,62789.73,62888.7,0,0
3,PAYMENT,388.56,C000281,29096.37,28707.82,M000114,31839.96,32228.51,0,0
3,CASH_IN,1029.79,C000130,1687.7,657.91,M000057,1614.77,2644.56,0,0
3,DEBIT,213.76,C000037,825.46,611.7,M000037,2048.48,2262.24,0,0
3,CASH_OUT,124.53,C000258,4413.42,4288.89,M000126,4097.84,4222.37,0,0
3,CASH_OUT,4244.87,C000010,4323.42,78.55,M000059,5889.18,10134.06,0,0
3,TRANSFER,180.76,C000231,15314.23,15133.47,M000142,3229.68,3410.44,0,0
3,PAYMENT,294.02,C000224,42084.94,41790.91,M000116,11531.24,11825.27,0,0
3,PAYMENT,136.11,C000026,3355.27,3219.16,M000049,7803.46,7939.57,0,0
3,CASH_OUT,401.38,C000153,6553.79,6152.41,M000134,1555.57,1956.95,0,0
3,CASH_OUT,3380.23,C000217,9581.7,6201.47,M000196,43877.95,47258.17,0,0
3,TRANSFER,435.78,C000069,1339.4,903.62,M000190,2537.66,2973.44,0,0
3,CASH_OUT,3792.3,C000137,7841.71,4049.4,M000085,560.08,4352.38,0,0
3,TRANSFER,1212.16,C000144,3093.13,1880.97,M000005,11112.44,12324.6,0,0
3,DEBIT,1503.78,C000241,921.25,0.0,M000024,11581.26,13085.04,0,0
3,DEBIT,301.0,C000072,28651.44,28350.44,M000139,2221.29,2522.29,0,0
3,PAYMENT,702.19,C000195,2331.37,1629.18,M000065,9057.72,9759.91,0,0
3,CASH_IN,354.27,C000057,6018.41,5664.15,M000038,11000.3,11354.57,0,0
3,CASH_OUT,655.86,C000243,6724.69,6068.83,M000006,1861.43,2517.3,0,0
3,TRANSFER,3827.57,C000073,8951.67,5124.1,M000030,7754.58,11582.15,0,0
3,CASH_OUT,185.6,C000092,4373.05,4187.45,M000044,4168.02,4353.62,0,0
3,DEBIT,174.31,C000028,2827.29,2652.98,M000079,1152.38,1326.69,0,0
3,PAYMENT,390.95,C000079,3168.6,2777.66,M000077,3030.46,3421.41,0,0
3,PAYMENT,1461.01,C000228,3992.06,2531.05,M000151,5858.46,7319.47,0,0
3,PAYMENT,457.14,C000231,9713.84,9256.69,M000092,47258.28,47715.42,0,0
3,CASH_OUT,198.05,C000043,7120.55,6922.5,M000004,3173.81,3371.85,0,0
3,PAYMENT,2554.67,C000187,2604.23,49.56,M000110,36057.13,38611.8,0,0
3,CASH_OUT,685.09,C000249,988.94,303.85,M000066,5253.77,5938.86,0,0
3,PAYMENT,155.88,C000213,11948.99,11793.11,M000035,4733.53,4889.42,0,0
3,PAYMENT,51.9,C000203,26322.11,26270.2,M000193,12640.5,12692.41,0,0
3,CASH_IN,333.09,C000184,5731.37,5398.29,M000090,30473.0,30806.09,0,0
3,CASH_IN,405.44,C000092,3955.85,3550.42,M000086,7303.95,7709.39,0,0
3,PAYMENT,59.22,C000084,7748.21,7688.99,M000069,5439.67,5498.89,0,0
3,PAYMENT,283.21,C000016,3922.1,3638.89,M000028,17906.34,18189.55,0,0
3,PAYMENT,1181.36,C000269,2030.54,849.18,M000057,5685.21,6866.57,0,0
3,TRANSFER,717.78,C000233,7352.1,6634.32,M000141,1322.3,2040.08,0,0
3,CASH_OUT,633.44,C000143,7138.73,6505.29,M000024,9478.02,10111.46,0,0
3,CASH_OUT,1323.76,C000233,4211.48,2887.72,M000003,4674.3,5998.05,0,0
3,PAYMENT,118.47,C000174,1872.69,1754.23,M000174,2832.96,2951.43,0,0
3,PAYMENT,1242.56,C000055,720.31,0.0,M000063,10821.08,12063.64,0,0
3,CASH_IN,692.5,C000192,3553.6,2861.1,M000150,2594.26,3286.76,0,0
3,CASH_IN,332.95,C000232,1880.93,1547.98,M000022,4846.51,5179.46,0,0
3,TRANSFER,289.59,C000230,876.46,586.88,M000192,14257.12,14546.71,0,0
3,CASH_OUT,274.63,C000172,1392.68,1118.04,M000192,1917.08,2191.71,0,0
3,CASH_OUT,4307.13,C000121,17419.13,13112.01,M000058,26253.18,30560.3,0,0
3,PAYMENT,833.62,C000225,1758.86,925.24,M000115,6162.71,6996.33,0,0
3,PAYMENT,44.19,C000143,2996.78,2952.58,M000110,16500.42,16544.61,0,0
3,TRANSFER,367.65,C000015,3152.72,2785.07,M000158,37234.76,37602.41,0,0
3,CASH_OUT,5142.35,C000108,7513.78,2371.43,M000004,7609.26,12751.6,0,0
3,CASH_IN,1335.0,C000165,3256.04,1921.04,M000056,6969.0,8304.0,0,0
3,CASH_OUT,643.41,C000154,1999.56,1356.14,M000094,48691.15,49334.57,0,0
3,CASH_IN,351.71,C000153,1439.64,1087.93,M000011,4518.29,4870.0,0,0
3,TRANSFER,1210.04,C000043,4253.65,3043.61,M000089,1140.73,2350.77,0,0
3,CASH_OUT,95.78,C000202,842.84,747.06,M000154,2628.08,2723.86,0,0
3,PAYMENT,23.41,C000107,731.85,708.44,M000184,2742.4,2765.81,0,0
3,PAYMENT,8.41,C000193,31700.76,31692.35,M000047,4603.81,4612.22,0,0
3,CASH_OUT,4414.09,C000105,7266.65,2852.56,M000143,3781.97,8196.05,0,0
3,CASH_IN,527.61,C000255,5909.99,5382.39,M000176,1129.84,1657.44,0,0
3,CASH_IN,232.95,C000105,8084.44,7851.49,M000115,15525.84,15758.79,0,0
3,CASH_IN,6626.81,C000245,6215.25,0.0,M000106,13335.67,19962.48,0,0
3,CASH_OUT,1286.69,C000242,7951.81,6665.12,M000103,11228.28,12514.96,0,0
3,PAYMENT,659.24,C000211,3831.75,3172.51,M000046,10535.56,11194.8,0,0
3,CASH_IN,1591.2,C000155,13625.55,12034.35,M000020,3490.83,5082.03,0,0
3,PAYMENT,113.65,C000015,1713.04,1599.4,M000185,2852.63,2966.28,0,0
3,CASH_OUT,247.55,C000177,426.94,179.39,M000060,6097.44,6344.99,0,0
3,CASH_IN,3324.87,C000136,2194.08,0.0,M000133,692.0,4016.87,0,0
3,DEBIT,487.82,C000057,7391.61,6903.79,M000177,748.72,1236.54,0,0
3,TRANSFER,4078.71,C000159,3516.73,0.0,M000166,25673.92,29752.64,0,0
3,DEBIT,1705.03,C000219,4154.0,2448.97,M000034,255.07,1960.1,0,0
3,TRANSFER,6643.88,C000169,1489.42,0.0,M000156,1169.57,7813.45,0,0
3,PAYMENT,1379.93,C000227,349.65,0.0,M000179,15460.55,16840.49,0,0
3,PAYMENT,209.93,C000008,15680.94,15471.01,M000028,2745.2,2955.13,0,0
3,CASH_IN,490.77,C000299,11452.55,10961.78,M000002,7108.74,7599.51,0,0
3,CASH_IN,5369.67,C000145,3039.5,0.0,M000019,7181.24,12550.91,0,0
3,CASH_OUT,730.15,C000065,17755.26,17025.11,M000059,6100.46,6830.61,0,0
3,CASH_OUT,4890.97,C000294,12356.82,7465.84,M000163,9743.48,14634.45,0,0
4,TRANSFER,3498.73,C000248,3673.75,175.02,M000095,3253.07,6751.8,0,0
4,PAYMENT,1555.49,C000299,1980.18,424.68,M000066,7686.66,9242.15,0,0
4,PAYMENT,133.66,C000080,4893.87,4760.21,M000113,16409.92,16543.57,0,0
4,TRANSFER,1398.43,C000019,8329.42,6930.99,M000173,17366.47,18764.9,0,0
4,TRANSFER,41.2,C000276,2760.54,2719.34,M000055,925.39,966.58,0,0
4,TRANSFER,153.95,C000284,11204.59,11050.64,M000008,7585.29,7739.24,0,0
4,TRANSFER,248.06,C000261,3973.1,3725.03,M000109,18569.55,18817.62,0,0
4,CASH_OUT,378.71,C000259,412.2,33.49,M000143,9326.56,9705.28,0,0
4,PAYMENT,334.88,C000220,12507.27,12172.4,M000199,1592.58,1927.46,0,0
4,TRANSFER,119.68,C000090,5523.64,5403.96,M000175,7089.3,7208.98,0,0
4,TRANSFER,1294.72,C000115,14501.5,13206.77,M000190,7666.16,8960.89,0,0
4,CASH_OUT,2179.81,C000060,5273.5,3093.7,M000002,4728.38,6908.18,0,0
4,DEBIT,1503.67,C000119,1722.54,218.87,M000159,7952.89,9456.56,0,0
4,TRANSFER,478.71,C000074,8542.51,8063.8,M000162,7094.87,7573.58,0,0
4,CASH_IN,214.3,C000282,5586.24,5371.94,M000055,22168.87,22383.17,0,0
4,PAYMENT,387.42,C000048,17173.34,16785.92,M000188,1260.97,1648.39,0,0
4,CASH_IN,665.02,C000075,13731.55,13066.54,M000051,19380.75,20045.77,0,0
4,TRANSFER,895.53,C000043,4676.34,3780.81,M000187,4353.49,5249.02,0,0
4,TRANSFER,285.67,C000218,5684.45,5398.78,M000170,4927.35,5213.02,0,0
4,CASH_OUT,1637.92,C000193,7489.14,5851.21,M000019,1772.67,3410.6,0,0
4,PAYMENT,425.05,C000268,4158.39,3733.34,M000064,10607.45,11032.5,0,0
4,CASH_OUT,62.8,C000019,1616.14,1553.34,M000081,22187.54,22250.33,0,0
4,PAYMENT,1585.95,C000055,6425.37,4839.42,M000116,7285.77,8871.71,0,0
4,DEBIT,608.29,C000113,3213.06,2604.77,M000019,6822.66,7430.95,0,0
4,PAYMENT,109.53,C000022,2981.7,2872.18,M000076,2472.41,2581.93,0,0
4,TRANSFER,866.52,C000221,1273.89,407.37,M000085,10658.26,11524.78,0,0
4,PAYMENT,424.06,C000245,5851.2,5427.14,M000038,1190.67,1614.72,0,0
4,PAYMENT,1108.62,C000254,22399.62,21291.0,M000087,5370.48,6479.11,0,0
4,PAYMENT,301.2,C000046,19301.24,19000.05,M000152,18679.43,18980.63,0,0
4,CASH_OUT,211.43,C000213,1242.9,1031.47,M000157,27133.93,27345.36,0,0
4,TRANSFER,358.61,C000033,12725.38,12366.77,M000019,2332.84,2691.45,0,0
4,TRANSFER,59.4,C000244,1738.28,1678.88,M000006,27550.33,27609.73,0,0
4,PAYMENT,2264.12,C000147,10448.98,8184.86,M000135,6833.91,9098.03,0,0
4,CASH_OUT,91.41,C000108,472.2,380.79,M000059,15865.07,15956.48,0,0
4,CASH_OUT,823.86,C000146,3114.6,2290.74,M000082,3381.4,4205.26,0,0
4,CASH_IN,476.62,C000044,497.48,20.86,M000139,8550.67,9027.29,0,0
4,PAYMENT,739.9,C000223,3228.67,2488.77,M000005,45592.77,46332.67,0,0
4,CASH_OUT,295.62,C000170,16714.66,16419.04,M000084,24563.0,24858.62,0,0
4,PAYMENT,415.25,C000101,11831.95,11416.7,M000031,5627.84,6043.1,0,0
4,CASH_IN,1368.0,C000223,2507.85,1139.85,M000100,43983.0,45351.0,0,0
4,PAYMENT,725.5,C000251,15319.26,14593.76,M000072,5837.26,6562.77,0,0
4,CASH_IN,456.46,C000210,4644.41,4187.95,M000030,3660.45,4116.91,0,0
4,PAYMENT,77.37,C000057,2026.06,1948.69,M000198,7544.11,7621.48,0,0
4,CASH_IN,768.07,C000114,20973.77,20205.71,M000020,4856.38,5624.44,0,0
4,PAYMENT,1388.35,C000190,27559.94,26171.58,M000174,1465.55,2853.9,0,0
4,PAYMENT,294.47,C000103,3464.05,3169.58,M000029,2695.25,2989.72,0,0
4,PAYMENT,119.01,C000053,7002.83,6883.82,M000125,4940.21,5059.22,0,0
4,TRANSFER,2800.5,C000137,1747.75,0.0,M000041,1857.63,4658.13,0,0
4,PAYMENT,377.73,C000299,6823.14,6445.4,M000198,483.81,861.55,0,0
4,PAYMENT,2564.27,C000010,1889.44,0.0,M000084,4937.16,7501.42,0,0
4,TRANSFER,3756.24,C000167,3216.75,0.0,M000014,6405.44,10161.67,0,0
4,TRANSFER,1131.51,C000216,1958.6,827.09,M000113,6367.72,7499.23,0,0
4,PAYMENT,761.07,C000031,3760.06,2998.99,M000111,1364.83,2125.91,0,0
4,PAYMENT,253.16,C000054,3092.39,2839.24,M000102,1333.48,1586.64,0,0
4,CASH_OUT,580.81,C000269,8178.74,7597.93,M000087,1946.53,2527.34,0,0
4,PAYMENT,305.55,C000275,2173.16,1867.61,M000178,2301.61,2607.16,0,0
4,DEBIT,1846.87,C000169,1854.08,7.21,M000178,2656.65,4503.52,0,0
4,TRANSFER,1199.09,C000241,11792.38,10593.29,M000055,12676.93,13876.01,0,0
4,CASH_OUT,599.95,C000024,9486.24,8886.29,M000021,43849.33,44449.28,1,0
4,PAYMENT,2686.08,C000166,2762.41,76.33,M000114,4554.29,7240.37,0,0
4,PAYMENT,764.13,C000284,5895.65,5131.52,M000076,28216.37,28980.5,0,0
4,CASH_IN,435.71,C000105,1262.67,826.97,M000040,15261.96,15697.67,0,0
4,PAYMENT,348.09,C000079,6687.95,6339.86,M000189,1715.59,2063.68,0,0
4,PAYMENT,709.26,C000166,1846.76,1137.5,M000179,1338.63,2047.89,0,0
4,TRANSFER,580.7,C000199,6319.36,5738.66,M000045,1828.23,2408.93,0,0
4,PAYMENT,243.78,C000267,3097.67,2853.89,M000108,3754.79,3998.58,0,0
4,CASH_IN,546.76,C000269,977.34,430.58,M000181,6914.78,7461.55,0,0
4,CASH_IN,110.36,C000262,1797.54,1687.18,M000072,1284.81,1395.16,0,0
4,TRANSFER,175.94,C000016,12289.54,12113.6,M000001,8654.97,8830.92,0,0
4,TRANSFER,505.66,C000138,3506.6,3000.95,M000030,8654.54,9160.2,0,0
4,CASH_OUT,1397.14,C000100,8036.5,6639.37,M000009,11222.61,12619.75,0,0
4,TRANSFER,924.74,C000211,3632.43,2707.69,M000081,8050.21,8974.96,0,0
4,PAYMENT,123.56,C000279,4420.52,4296.96,M000095,8851.4,8974.96,0,0
4,PAYMENT,1445.15,C000236,5489.13,4043.98,M000140,31279.6,32724.75,0,0
